A,Victoria,Confirmed,20,1135,5-4-2020
B,Victoria,Recovered,46,573,5-4-2020
C,Victoria,Death,0,8,5-4-2020
A,Victoria,Confirmed,23,1158,6-4-2020
B,Victoria,Recovered,47,620,6-4-2020
C,Victoria,Death,2,10,6-4-2020
A,Victoria,Confirmed,33,1191,7-4-2020
B,Victoria,Recovered,0,620,7-4-2020
C,Victoria,Death,1,11,7-4-2020
A,Victoria,Confirmed,21,1212,8-4-2020
B,Victoria,Recovered,0,620,8-4-2020
C,Victoria,Death,1,12,8-4-2020
A,Victoria,Confirmed,16,1228,9-4-2020
B,Victoria,Recovered,116,736,9-4-2020
C,Victoria,Death,0,12,9-4-2020
A,Victoria,Confirmed,13,1241,10-4-2020
B,Victoria,Recovered,190,926,10-4-2020
C,Victoria,Death,1,13,10-4-2020
A,Victoria,Confirmed,24,1265,11-4-2020
B,Victoria,Recovered,0,926,11-4-2020
C,Victoria,Death,1,14,11-4-2020
A,Victoria,Confirmed,3,1268,12-4-2020
B,Victoria,Recovered,0,926,12-4-2020
C,Victoria,Death,0,14,12-4-2020
A,Victoria,Confirmed,13,1281,13-4-2020
B,Victoria,Recovered,0,926,13-4-2020
C,Victoria,Death,0,14,13-4-2020
